Gen 1:1
τὸ RA--ASN--- ὁ
στερέωμα N3M-ASN--- στερέωμα
οὐρανόν N2--ASM--- οὐρανός
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
δευτέρα A1A-NSF--- δεύτερος

Gen 1:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
συναχθήτω VQ--APD3S- ἄγω συν
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τὸ RA--NSN--- ὁ
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἰς P--------- εἰς
συναγωγὴν N1--ASF--- συναγωγή
μίαν A1A-ASF--- εἷς
καὶ C--------- καί
ὀφθήτω VV--APD3S- ὁράω
ἡ RA--NSF--- ὁ
ξηρά A1A-NSF--- ξηρός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως
καὶ C--------- καί
συνήχθη VQI-API3S- ἔχω συν
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τὸ RA--NSN--- ὁ
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
συναγωγὰς N1--APF--- συναγωγή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὤφθη VVI-API3S- ὁράω
ἡ RA--NSF--- ὁ
ξηρά A1A-NSF--- ξηρός

Gen 1:10
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
ξηρὰν A1A-ASF--- ξηρός
γῆν N1--ASF--- γῆ
καὶ C--------- καί
τὰ RA--APN--- ὁ
συστήματα N3M-APN--- σύστημα
τῶν RA--GPN--- ὁ
ὑδάτων N3T-GPN--- ὕδωρ
ἐκάλεσεν VAI-AAI3S- καλέω
θαλάσσας N1S-APF--- θάλασσα
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός

Gen 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
βλαστησάτω VA--AAD3S- βλαστάνω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
βοτάνην N1--ASF--- βοτάνη
χόρτου N2--GSM--- χόρτος
σπεῖρον V1--PAPNSN σπείρω
σπέρμα N3M-ASN--- σπέρμα
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
καθ' P--------- κατά
ὁμοιότητα N3T-ASF--- ὁμοιότης
καὶ C--------- καί
ξύλον N2N-ASN--- ξύλον
κάρπιμον A1B-ASN--- κάρπιμος
ποιοῦν V2--PAPASN ποιέω
καρπόν N2--ASM--- καρπός
οὗ RR--GSM--- ὅς
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
αὐτοῦ RD--GSN--- αὐτός
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως

Gen 1:12
καὶ C--------- καί
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
βοτάνην N1--ASF--- βοτάνη
χόρτου N2--GSM--- χόρτος
σπεῖρον V1--PAPNSN σπείρω
σπέρμα N3M-ASN--- σπέρμα
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
καθ' P--------- κατά
ὁμοιότητα N3T-ASF--- ὁμοιότης
καὶ C--------- καί
ξύλον N2N-ASN--- ξύλον
κάρπιμον A1B-ASN--- κάρπιμος
ποιοῦν V2--PAPASN ποιέω
καρπόν N2--ASM--- καρπός
οὗ RR--GSM--- ὅς
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
αὐτοῦ RD--GSN--- αὐτός
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός

Gen 1:13
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
τρίτη A1--NSF--- τρίτος

Gen 1:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
γενηθήτωσαν VC--APD3P- γίγνομαι
φωστῆρες N3H-NPM--- φωστήρ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στερεώματι N3M-DSN--- στερέωμα
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἰς P--------- εἰς
φαῦσιν N3I-ASF--- φαῦσις
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τοῦ RA--GSN--- ὁ
διαχωρίζειν V1--PAN--- χωρίζω δια
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
καὶ C--------- καί
ἔστωσαν V9--PAD3P- εἰμί
εἰς P--------- εἰς
σημεῖα N2N-APN--- σημεῖον
καὶ C--------- καί
εἰς P--------- εἰς
καιροὺς N2--APM--- καιρός
καὶ C--------- καί
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
εἰς P--------- εἰς
ἐνιαυτοὺς N2--APM--- ἐνιαυτός

Gen 1:15
καὶ C--------- καί
ἔστωσαν V9--PAD3P- εἰμί
εἰς P--------- εἰς
φαῦσιν N3I-ASF--- φαῦσις
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στερεώματι N3M-DSN--- στερέωμα
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὥστε C--------- ὥστε
φαίνειν V1--PAN--- φαίνω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως

Gen 1:16
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοὺς RA--APM--- ὁ
δύο M--------- δύο
φωστῆρας N3H-APM--- φωστήρ
τοὺς RA--APM--- ὁ
μεγάλους A1--APM--- μέγας
τὸν RA--ASM--- ὁ
φωστῆρα N3H-ASM--- φωστήρ
τὸν RA--ASM--- ὁ
μέγαν A1P-ASM--- μέγας
εἰς P--------- εἰς
ἀρχὰς N1--APF--- ἀρχή
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
τὸν RA--ASM--- ὁ
φωστῆρα N3H-ASM--- φωστήρ
τὸν RA--ASM--- ὁ
ἐλάσσω A3C-ASMC-- ἐλαχύς
εἰς P--------- εἰς
ἀρχὰς N1--APF--- ἀρχή
τῆς RA--GSF--- ὁ
νυκτός N3--GSF--- νύξ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀστέρας N3--APM--- ἀστήρ

Gen 1:17
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στερεώματι N3M-DSN--- στερέωμα
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὥστε C--------- ὥστε
φαίνειν V1--PAN--- φαίνω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 1:18
καὶ C--------- καί
ἄρχειν V1--PAN--- ἄρχω
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
καὶ C--------- καί
διαχωρίζειν V1--PAN--- χωρίζω δια
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
φωτὸς N3T-GSN--- φῶς
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
σκότους N3E-GSN--- σκότος
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλόν A1--NSN--- καλός

Gen 1:19
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
τετάρτη A1--NSF--- τέταρτος

Gen 1:20
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἐξαγαγέτω VB--AAD3S- ἄγω ἐκ
τὰ RA--NPN--- ὁ
ὕδατα N3T-NPN--- ὕδωρ
ἑρπετὰ N2N-APN--- ἑρπετόν
ψυχῶν N1--GPF--- ψυχή
ζωσῶν V3--PAPGPF ζάω
καὶ C--------- καί
πετεινὰ N2N-APN--- πετεινόν
πετόμενα V1--PMPAPN πέτομαι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
στερέωμα N3M-ASN--- στερέωμα
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως

Gen 1:21
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὰ RA--APN--- ὁ
κήτη N3E-APN--- κῆτος
τὰ RA--APN--- ὁ
μεγάλα A1--APN--- μέγας
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
ψυχὴν N1--ASF--- ψυχή
ζῴων N2N-GPN--- ζῷον
ἑρπετῶν N2N-GPN--- ἑρπετόν
ἃ RR--APN--- ὅς
ἐξήγαγεν VBI-AAI3S- ἄγω ἐκ
τὰ RA--APN--- ὁ
ὕδατα N3T-APN--- ὕδωρ
κατὰ P--------- κατά
γένη N3E-APN--- γένος
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
πετεινὸν N2N-ASN--- πετεινόν
πτερωτὸν A1--ASN--- πτερωτός
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλά A1--APN--- καλός

Gen 1:22
καὶ C--------- καί
ηὐλόγησεν VAI-AAI3S- εὐλογέω
αὐτὰ RD--APN--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
λέγων V1--PAPNSM λέγω
αὐξάνεσθε V1--PMD2P- αὐξάνω
καὶ C--------- καί
πληθύνεσθε V1--PMD2P- πληθύνω
καὶ C--------- καί
πληρώσατε VA--AAD2P- πληρόω
τὰ RA--APN--- ὁ
ὕδατα N3T-APN--- ὕδωρ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
θαλάσσαις N1S-DPF--- θάλασσα
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πετεινὰ N2N-NPN--- πετεινόν
πληθυνέσθωσαν VA--AMD3P- πληθύνω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 1:23
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
πέμπτη A1--NSF--- πέμπτος

Gen 1:24
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἐξαγαγέτω VB--AAD3S- ἄγω ἐκ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ψυχὴν N1--ASF--- ψυχή
ζῶσαν V3--PAPASF ζάω
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
τετράποδα A1B-APN--- τετράποδος
καὶ C--------- καί
ἑρπετὰ N2N-APN--- ἑρπετόν
καὶ C--------- καί
θηρία N2N-APN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως

Gen 1:25
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὰ RA--APN--- ὁ
θηρία N2N-APN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἑρπετὰ N2N-APN--- ἑρπετόν
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
καλά A1--APN--- καλός

Gen 1:26
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ποιήσωμεν VA--AAS1P- ποιέω
ἄνθρωπον N2--ASM--- ἄνθρωπος
κατ' P--------- κατά
εἰκόνα N3N-ASF--- εἰκών
ἡμετέραν A1A-ASF--- ἡμέτερος
καὶ C--------- καί
καθ' P--------- κατά
ὁμοίωσιν N3I-ASF--- ὁμοίωσις
καὶ C--------- καί
ἀρχέτωσαν V1--PAD3P- ἄρχω
τῶν RA--GPM--- ὁ
ἰχθύων N3U-GPM--- ἰχθύς
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
καὶ C--------- καί
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἑρπετῶν N2N-GPN--- ἑρπετόν
τῶν RA--GPN--- ὁ
ἑρπόντων V1--PAPGPN ἕρπω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 1:27
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
κατ' P--------- κατά
εἰκόνα N3N-ASF--- εἰκών
θεοῦ N2--GSM--- θεός
ἐποίησεν VAI-AAI3S- ποιέω
αὐτόν RD--ASM--- αὐτός
ἄρσεν A3--ASN--- ἄρσην
καὶ C--------- καί
θῆλυ A3U-ASN--- θῆλυς
ἐποίησεν VAI-AAI3S- ποιέω
αὐτούς RD--APM--- αὐτός

Gen 1:28
καὶ C--------- καί
ηὐλόγησεν VAI-AAI3S- εὐλογέω
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
λέγων V1--PAPNSM λέγω
αὐξάνεσθε V1--PMD2P- αὐξάνω
καὶ C--------- καί
πληθύνεσθε V1--PMD2P- πληθύνω
καὶ C--------- καί
πληρώσατε VA--AAD2P- πληρόω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
κατακυριεύσατε VA--AAD2P- κυριεύω κατα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἄρχετε V1--PAI2P- ἄρχω
τῶν RA--GPM--- ὁ
ἰχθύων N3U-GPM--- ἰχθύς
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
καὶ C--------- καί
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἑρπετῶν N2N-GPN--- ἑρπετόν
τῶν RA--GPN--- ὁ
ἑρπόντων V1--PAPGPN ἕρπω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 1:29
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἰδοὺ I--------- ἰδού
δέδωκα VX--XAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
πᾶν A3--ASN--- πᾶς
χόρτον N2--ASM--- χόρτος
σπόριμον A1B-ASM--- σπόριμος
σπεῖρον V1--PAPASN σπείρω
σπέρμα N3M-ASN--- σπέρμα
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐπάνω P--------- ἐπάνω
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
ξύλον N2N-ASN--- ξύλον
ὃ RR--NSN--- ὅς
ἔχει V1--PAI3S- ἔχω
ἐν P--------- ἐν
ἑαυτῷ RD--DSM--- ἑαυτοῦ
καρπὸν N2--ASM--- καρπός
σπέρματος N3M-GSN--- σπέρμα
σπορίμου A1B-GSN--- σπόριμος
ὑμῖν RP--DP---- σύ
ἔσται VF--FMI3S- εἰμί
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις

Gen 1:30
καὶ C--------- καί
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
πετεινοῖς N2N-DPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
παντὶ A3--DSN--- πᾶς
ἑρπετῷ N2N-DSN--- ἑρπετόν
τῷ RA--DSN--- ὁ
ἕρποντι V1--PAPDSN ἕρπω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὃ RR--NSN--- ὅς
ἔχει V1--PAI3S- ἔχω
ἐν P--------- ἐν
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ψυχὴν N1--ASF--- ψυχή
ζωῆς N1--GSF--- ζωή
πάντα A3--ASM--- πᾶς
χόρτον N2--ASM--- χόρτος
χλωρὸν A1A-ASM--- χλωρός
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως

Gen 1:31
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
καλὰ A1--APN--- καλός
λίαν D--------- λίαν
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἑσπέρα N1A-NSF--- ἑσπέρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρωί D--------- πρωΐ
ἡμέρα N1A-NSF--- ἡμέρα
ἕκτη A1--NSF--- ἕκτος

Gen 2:1
καὶ C--------- καί
συνετελέσθησαν VSI-API3P- τελέω συν
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
κόσμος N2--NSM--- κόσμος
αὐτῶν RD--GPM--- αὐτός

Gen 2:2
καὶ C--------- καί
συνετέλεσεν VAI-AAI3S- τελέω συν
